"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/04","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","11000","11000","10000","11000","10000","10000","10000","10000","10000","10000","11000","10000","11000","10000","11000","10000","11000","11000","10000","10000","11000","10000","11000","11000","10000","10000","11000","11000","10000","11000","10000","10000","10000","10000","11000","497000","2025/01/05 15:30:05"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/05","51600","51600","51600","51600","51600","51200","51200","51600","51200","51200","51200","51600","51200","51200","51200","51600","51200","51600","51600","51600","51600","51200","51600","51600","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51200","52000","51600","51600","51600","2472000","2025/01/06 15:30:02"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/05","37000","37000","36000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","36000","37000","36000","37000","36000","37000","36000","37000","37000","36000","36000","37000","37000","36000","36000","37000","36000","37000","36000","37000","1763000","2025/01/06 15:30:02"
"42136","中部","四日市霞発電所","単独","その他","2025/01/05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/06 15:30:02"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/05","68318","68821","67759","66642","66126","66012","67151","68212","68308","68531","67689","66266","67656","68225","67999","67522","67324","67373","66021","65496","65677","65451","66719","66395","65932","66427","65079","65599","67939","67921","67916","67527","67299","67078","66290","65953","65513","65765","67338","68103","67656","67721","66674","65651","65545","65865","66724","67932","3213140","2025/01/06 15:30:02"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/05","2896","2687","3453","2844","2725","3396","3792","3363","3316","2614","2320","2773","3032","3171","3541","3081","3358","3207","2640","2643","4131","4458","4592","4323","4470","4781","5085","5177","4550","4868","5168","4826","4493","4953","5198","5784","5881","5588","5385","5849","6018","6019","6047","6027","6619","6758","6916","6323","211139","2025/01/06 15:30:02"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/05","46000","47000","46000","46000","46000","47000","47000","47000","47000","47000","47000","47000","47000","46000","47000","47000","47000","47000","46000","46000","47000","46000","47000","47000","46000","47000","47000","47000","51000","46000","46000","46000","46000","48000","50000","47000","45000","46000","47000","46000","47000","47000","47000","47000","46000","47000","47000","47000","2246000","2025/01/06 15:30:02"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/05","10000","11000","10000","11000","10000","11000","11000","10000","10000","11000","10000","11000","10000","11000","11000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","11000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","11000","493000","2025/01/06 15:30:02"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/06","51600","51200","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51200","51200","51600","51600","51200","51600","51600","51200","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","2473200","2025/01/07 15:30:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/06","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","36000","37000","37000","36000","36000","37000","36000","37000","36000","37000","36000","37000","36000","37000","36000","37000","37000","37000","37000","37000","1766000","2025/01/07 15:30:03"
