"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/10 15:30:11"
"42136","中部","四日市霞発電所","単独","その他","2025/06/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/10 15:30:11"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/09","86818","87270","86980","86573","86460","87194","87575","87268","86789","87132","87100","86531","86571","86788","87811","87295","86854","86918","85729","86338","86005","86970","81684","70431","68239","68198","68372","68077","58832","48403","48214","48765","47765","25459","748","0","0","0","0","0","0","0","0","0","0","0","0","0","2614156","2025/06/10 15:30:11"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/09","4928","4369","4238","3806","3556","3307","3451","3245","2842","2853","2816","2707","2764","2843","4149","4606","4761","4781","4830","4857","4689","4530","4536","4417","3695","2800","3294","3625","4025","3658","4913","4797","5050","4845","4575","4584","3683","3349","4090","4214","3510","3409","4276","5831","6294","6780","7949","8679","205806","2025/06/10 15:30:11"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/09","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","2796000","2025/06/10 15:30:11"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/09","10000","9000","10000","10000","10000","10000","10000","10000","10000","10000","9000","10000","21000","37000","37000","36000","36000","36000","36000","36000","36000","37000","36000","36000","36000","36000","47000","51000","51000","50000","51000","50000","51000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","32000","10000","1665000","2025/06/10 15:30:11"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/10","51200","50800","51200","51200","51200","50800","51600","51200","51200","51600","51200","51600","51200","51200","51600","51200","51200","51200","51200","51600","51200","51200","51200","51200","51200","51600","51200","51200","51200","51200","51200","51200","51200","51600","51200","51600","51200","51200","50800","51200","51200","50800","51200","51200","51200","51200","51600","51200","2459600","2025/06/11 15:30:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/11 15:30:03"
"42136","中部","四日市霞発電所","単独","その他","2025/06/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/11 15:30:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/11 15:30:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/10","9213","9170","7833","7248","7612","8703","9345","9869","9899","10268","10556","9511","9041","9384","8869","7938","8042","7680","7895","7212","6571","6127","6701","7887","8330","8672","8251","8173","8837","8125","8363","8563","7607","7662","8965","8159","7576","8431","9498","9526","9497","9403","8820","7842","7652","7049","5785","5476","398836","2025/06/11 15:30:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/10","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","2796000","2025/06/11 15:30:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/10","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","9000","21000","50000","51000","50000","51000","51000","51000","50000","51000","50000","51000","50000","51000","50000","50000","51000","51000","50000","51000","50000","51000","50000","51000","50000","51000","50000","51000","50000","32000","9000","1606000","2025/06/11 15:30:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/11","51200","51600","51200","51200","51600","51200","51200","51600","51200","51600","51200","51200","51200","51600","51200","51200","51200","50800","51200","50800","50800","50800","50800","50800","50800","50800","50800","50800","50800","50800","51200","50800","51200","51200","51200","50800","51200","51200","51600","51200","51200","51600","51200","51200","51600","51200","51600","51200","2455600","2025/06/12 15:30:10"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/12 15:30:10"
"42136","中部","四日市霞発電所","単独","その他","2025/06/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/12 15:30:10"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1060","8254","12187","13181","14391","23196","32937","44799","49108","48795","48134","55985","352027","2025/06/12 15:30:10"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/11","7593","8521","8649","8394","8109","7708","7461","7557","7431","7887","8881","8500","8713","8699","7947","6252","6859","7292","6714","6930","6883","6992","6893","7260","7785","8047","7813","8263","8133","7040","6975","7428","7920","7874","8764","9704","9340","9328","9653","9381","9147","9464","9232","8774","8781","8670","8726","8702","389069","2025/06/12 15:30:10"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/11","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","2796000","2025/06/12 15:30:10"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/11","9000","10000","10000","10000","10000","10000","10000","10000","10000","9000","10000","10000","10000","10000","10000","10000","10000","9000","10000","9000","9000","10000","10000","9000","10000","9000","10000","9000","10000","9000","10000","10000","10000","9000","10000","9000","10000","9000","10000","9000","10000","9000","10000","9000","10000","9000","9000","10000","463000","2025/06/12 15:30:10"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/12","51200","51600","51200","51200","51600","51200","51200","51600","51200","51600","51200","51600","51200","51600","51200","51200","51600","50400","47600","40400","33600","32400","31600","31600","31600","31200","34000","40800","46000","49200","50400","51200","51200","51600","51200","51600","51200","51600","51200","51200","51600","51200","51200","51600","51200","51600","51200","51200","2296800","2025/06/13 15:30:02"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/13 15:30:02"
"42136","中部","四日市霞発電所","単独","その他","2025/06/12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/13 15:30:02"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/12","68331","70579","69610","70541","70360","72036","80860","89000","89966","92161","92914","90026","85370","92086","92970","92849","92875","93030","91449","91880","92590","93239","93365","92872","92763","92589","91671","91760","92276","92280","92900","92924","93091","92756","91876","82229","89703","92238","93479","93247","93052","92901","92686","92069","92419","92022","93176","93074","4270140","2025/06/13 15:30:02"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/12","8716","8714","8685","8704","8759","8701","8695","8685","8795","8722","8657","8706","8721","8686","8709","8687","8776","8767","8751","8783","8785","8775","8729","8729","8766","8769","8783","8785","8776","8808","8551","8822","8569","8800","8594","8736","8620","8797","8271","8707","8728","8698","8767","8712","8697","8694","8713","8811","418411","2025/06/13 15:30:02"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/12","61000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","62000","62000","62000","62000","63000","62000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","2988000","2025/06/13 15:30:02"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/12","10000","9000","10000","9000","10000","9000","10000","9000","10000","9000","9000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","9000","10000","10000","10000","9000","9000","10000","10000","9000","10000","10000","10000","10000","10000","9000","10000","9000","10000","9000","10000","9000","10000","9000","10000","10000","465000","2025/06/13 15:30:02"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/13","51600","51600","51200","51600","51200","50800","51600","51200","50800","51200","51200","51200","51200","51200","51200","51200","51600","50800","48400","40400","34000","33200","32400","32000","32000","32000","34800","40400","44000","47600","48000","50000","51600","51200","51600","51200","51600","51200","51200","51600","51200","51200","51200","50800","51200","50800","51200","51200","2291600","2025/06/14 15:30:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/14 15:30:06"
"42136","中部","四日市霞発電所","単独","その他","2025/06/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/14 15:30:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/13","93076","92889","92454","92415","91354","92391","93120","92450","92262","92413","93012","92716","92658","93227","92452","93315","92531","92379","91533","91561","91409","91978","92793","75971","45797","46113","48723","60026","68857","69132","69125","68880","71604","78746","86646","88434","89854","89873","90061","91388","91321","91625","91426","90894","90259","91736","92391","92021","4097291","2025/06/14 15:30:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/13","8694","8666","8735","8678","8718","8542","8703","8665","8696","8679","8708","8707","8701","8690","8770","8711","8891","8767","9136","8987","9127","7280","7454","8069","9038","8983","9081","9070","8967","9083","9048","9076","9020","9023","8980","9093","8999","8989","8946","8994","8964","8974","8999","8972","9029","8873","9067","8898","422940","2025/06/14 15:30:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/13","63000","62000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","63000","62000","62000","62000","63000","62000","2991000","2025/06/14 15:30:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/13","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","11000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","11000","486000","2025/06/14 15:30:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/14","50800","51200","51200","51200","51200","50800","51200","51600","51200","51600","51200","51200","51600","51200","51600","51200","51200","51600","51200","51200","51200","51600","51200","51200","51200","51600","51200","51200","51200","51600","51200","51200","51200","51200","51600","51200","51200","51600","51200","51600","51200","51200","50800","50800","51200","50800","50800","50800","2459200","2025/06/15 15:30:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/15 15:30:03"
"42136","中部","四日市霞発電所","単独","その他","2025/06/14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/15 15:30:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/14","91596","91737","91124","90811","90833","91682","92342","91682","91533","91340","91225","90786","90449","91126","91860","90964","90587","91165","90146","89480","90237","90843","91088","90945","90662","90670","89653","89523","89997","90400","90567","89944","90058","89790","89500","89107","89077","90223","90283","89915","89850","89636","89486","88922","89370","89484","89655","89140","4340493","2025/06/15 15:30:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/14","9572","9162","9259","8861","8882","8940","8956","8873","8952","8917","9022","8936","8956","8953","9063","8858","9064","8898","8973","8883","8989","8905","8992","8953","8991","8983","8987","9018","8950","9001","8983","9005","8970","9009","8975","9037","8876","8996","8970","8989","8988","8972","9026","8955","9053","8886","9024","8929","431392","2025/06/15 15:30:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/14","61000","60000","58000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","2800000","2025/06/15 15:30:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/14","10000","10000","10000","10000","10000","11000","10000","11000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","11000","11000","10000","10000","11000","10000","11000","10000","11000","10000","11000","10000","10000","10000","11000","10000","11000","10000","10000","10000","10000","492000","2025/06/15 15:30:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/15","50800","50800","51200","50800","51200","51200","51200","51200","51600","51200","51600","51200","51200","51200","51200","51600","51200","51200","51200","51200","51200","51200","51600","50800","51200","51200","50800","50800","50800","50800","50800","50800","50800","50800","50800","50800","51600","51200","51200","51200","51200","51200","50800","50800","50800","50800","50800","50800","2451600","2025/06/16 15:31:05"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/16 15:31:05"
"42136","中部","四日市霞発電所","単独","その他","2025/06/15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/16 15:31:05"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/15","88904","89044","88705","88009","88421","89508","89946","89191","89081","88915","88675","88148","88486","88922","89684","89165","89204","89405","88020","82581","82236","89224","89594","89465","89312","89185","87928","88097","88882","88972","89454","88920","88125","88707","88517","88068","88444","89262","89103","88631","88524","88654","88354","88146","88470","88538","89408","88818","4251052","2025/06/16 15:31:05"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/15","8982","9060","8925","9049","8847","9012","8904","8967","9089","8961","9009","8899","8993","8857","9017","8902","8988","9020","8752","9273","9207","9307","9403","9567","8718","8944","8981","8950","8985","8902","9060","8904","9040","8954","9111","8842","9111","8750","8994","8999","7815","8947","8949","8992","9080","9078","9155","9149","431400","2025/06/16 15:31:05"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/15","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","2796000","2025/06/16 15:31:05"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/15","10000","11000","10000","10000","10000","10000","10000","11000","10000","11000","10000","10000","10000","11000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","487000","2025/06/16 15:31:05"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/16","50800","50800","50800","50800","50800","50800","50800","51200","51200","51600","51200","51200","51200","51200","51600","51200","51200","51200","50800","50400","50800","50800","50800","50800","50800","50800","50800","50400","50800","50800","50800","50800","50800","50800","50800","50800","50800","50800","51200","50800","50800","50800","50800","50800","50800","50800","51200","50800","2443600","2025/06/17 15:30:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/17 15:30:06"
"42136","中部","四日市霞発電所","単独","その他","2025/06/16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/17 15:30:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/16","89068","88955","88615","88370","88111","89338","89176","89104","89093","89651","88873","88559","88448","89192","89714","89139","89240","89355","88299","88132","87242","87923","88143","88642","89255","88486","87647","86643","87846","87034","87573","88378","88629","88553","87696","87833","87703","88390","88003","88213","88615","88692","89365","87785","87439","88365","89333","89073","4246931","2025/06/17 15:30:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/16","9625","9883","9743","9728","9699","9861","9934","9964","9954","9925","9875","9874","9822","9734","9712","9624","9993","10007","10031","10006","10065","9159","9282","9984","9797","10030","9989","9458","9218","9844","10271","9991","9554","9491","9499","9556","9445","9579","9465","9516","9591","9318","9523","9507","9505","9507","9505","9513","466156","2025/06/17 15:30:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/16","58000","59000","58000","58000","58000","59000","58000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","67000","60000","58000","59000","58000","58000","58000","59000","58000","58000","58000","2807000","2025/06/17 15:30:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/16","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","9000","22000","49000","50000","50000","50000","50000","50000","50000","50000","51000","50000","51000","50000","50000","50000","50000","50000","51000","50000","51000","50000","51000","50000","50000","50000","51000","50000","50000","50000","51000","50000","51000","50000","51000","51000","50000","1900000","2025/06/17 15:30:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/17","50800","50800","50800","50800","50800","50800","51200","50800","50800","50800","50800","51200","50800","51200","51600","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","50800","50800","50400","50400","50800","50800","50800","50800","50800","50800","50800","51200","50400","51200","50400","50400","50400","46400","47600","2436800","2025/06/18 15:31:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/18 15:31:06"
"42136","中部","四日市霞発電所","単独","その他","2025/06/17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/18 15:31:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/17","89622","89689","89293","89084","89012","89825","90033","89653","89461","89557","89251","88886","88752","89186","88949","89442","89928","89610","88723","88445","89065","90071","90036","89901","89038","88207","87752","88273","88090","87079","88352","88922","87995","88420","88354","88110","87681","88992","89089","88192","88254","88957","88168","88493","89480","89434","90026","89930","4270762","2025/06/18 15:31:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/17","9780","9650","9472","9541","9522","9683","9701","9746","9915","9275","9296","9202","9776","9844","9850","9774","9766","9759","9809","9546","9711","9821","9531","9438","9492","9467","9238","9151","9083","8875","9041","9041","9033","9065","9033","9027","9037","8867","9036","8961","9080","9271","9121","9036","9038","8979","9053","9006","449439","2025/06/18 15:31:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/17","59000","58000","58000","59000","58000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","61000","67000","66000","67000","61000","58000","58000","58000","59000","58000","58000","58000","59000","2827000","2025/06/18 15:31:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/17","51000","50000","51000","50000","51000","50000","51000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","51000","50000","50000","50000","50000","50000","50000","50000","51000","50000","51000","50000","51000","50000","51000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","2409000","2025/06/18 15:31:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/18","47600","47600","47200","47200","47200","47200","47200","47200","47200","47600","47600","47600","48000","48800","49600","50000","50400","50400","50400","50800","50800","50800","50800","51200","51200","51200","50800","51600","51200","51200","51200","51200","51200","51200","51200","51600","51200","50800","50400","50000","50400","50400","50400","50400","50400","50400","50400","50000","2390400","2025/06/19 15:30:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/19 15:30:06"
"42136","中部","四日市霞発電所","単独","その他","2025/06/18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/19 15:30:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/18","89455","89533","89112","88860","88991","89910","89776","89867","89915","89564","89134","88659","89214","89498","90038","89427","89755","89448","88516","88629","88126","89312","89208","88560","89211","89506","90061","88763","87474","87408","88020","87470","87195","87741","87900","87537","87421","87857","88360","88476","88567","88377","88271","87942","87613","89327","90683","88525","4262212","2025/06/19 15:30:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/18","9144","9008","9084","9002","9041","8995","9007","9038","9035","9022","9049","9043","9001","9039","8985","9036","9035","9022","9008","9039","9124","8034","7895","7948","8592","8863","9052","9016","9038","9039","9684","9848","9575","9510","9170","8720","9040","9033","9014","9023","8994","9040","9041","9049","9028","9025","9013","9024","432065","2025/06/19 15:30:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/18","58000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","64000","66000","62000","59000","58000","58000","59000","58000","58000","58000","59000","58000","2813000","2025/06/19 15:30:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/06/18","50000","51000","50000","51000","50000","51000","50000","51000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","51000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","51000","32000","9000","2347000","2025/06/19 15:30:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/06/19","50400","50400","50400","50400","50400","50000","50400","50400","50400","50400","50400","50000","50800","50000","51200","50800","50800","50400","50800","50800","50800","50800","50400","50800","50800","50800","50800","51200","50800","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51600","51200","51200","51200","51600","51200","51200","51600","2440800","2025/06/20 15:30:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/06/19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/20 15:30:03"
"42136","中部","四日市霞発電所","単独","その他","2025/06/19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/06/20 15:30:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/06/19","88733","89202","89154","88806","88734","89973","90015","89469","89306","89722","89267","88769","88889","89401","90102","89605","89211","89515","88762","89143","89571","89179","89996","90008","90137","89197","88841","88796","89150","87977","88912","89828","90019","89567","89020","88954","88736","88860","89860","89656","89603","89644","89265","88860","88557","89335","89966","89565","4286837","2025/06/20 15:30:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/06/19","9031","9024","9032","9033","9044","9023","9016","9008","9042","9025","9041","9026","9032","9030","9022","9031","9041","9024","9131","8010","5588","3948","3351","0","1738","2417","3065","2572","2858","2655","2657","2850","2821","3007","2598","2361","2197","3169","3269","3184","3328","3423","3254","3331","3384","3227","3318","3334","262570","2025/06/20 15:30:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/06/19","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","59000","58000","58000","58000","59000","58000","58000","58000","59000","2797000","2025/06/20 15:30:03"
